participant_id,candidate_id,program_id,completion_status,score,feedback_rating
PTC00221,CND0087,PRG0012,Completed,81.4,3.8
PTC00222,CND0087,PRG0009,Completed,82.8,4.7
PTC00223,CND0088,PRG0149,In Progress,,4.8
PTC00224,CND0089,PRG0092,Completed,87.1,3.1
PTC00225,CND0089,PRG0228,Completed,84.0,4.4
PTC00226,CND0089,PRG0237,Completed,95.7,4.9
PTC00227,CND0090,PRG0184,Completed,87.4,4.8
PTC00228,CND0090,PRG0246,Completed,88.6,4.7
PTC00229,CND0090,PRG0112,Completed,77.7,4.0
PTC00230,CND0091,PRG0154,In Progress,,4.5
PTC00231,CND0091,PRG0152,Completed,72.4,4.5
PTC00232,CND0092,PRG0168,Completed,83.9,4.3
PTC00233,CND0092,PRG0167,Completed,87.2,4.2
PTC00234,CND0093,PRG0117,Completed,80.1,4.8
PTC00235,CND0093,PRG0090,Dropped,,4.9
PTC00236,CND0093,PRG0076,Completed,100.0,4.5
PTC00237,CND0093,PRG0026,Completed,85.3,4.3
PTC00238,CND0094,PRG0226,In Progress,,4.0
PTC00239,CND0094,PRG0163,In Progress,,5.0
PTC00240,CND0094,PRG0022,In Progress,,4.1
PTC00241,CND0094,PRG0117,Completed,60.8,3.8
PTC00242,CND0094,PRG0032,In Progress,,5.0
PTC00243,CND0095,PRG0249,Completed,81.8,4.7
PTC00244,CND0097,PRG0146,Completed,87.5,3.8
PTC00245,CND0098,PRG0180,Completed,61.7,4.2
PTC00246,CND0098,PRG0056,Completed,83.4,4.4
PTC00247,CND0098,PRG0040,Completed,74.1,4.9
PTC00248,CND0098,PRG0228,Completed,70.8,4.0
PTC00249,CND0098,PRG0058,In Progress,,4.5
PTC00250,CND0099,PRG0213,Completed,92.3,3.4
PTC00251,CND0099,PRG0037,Completed,89.2,4.6
PTC00252,CND0099,PRG0219,Completed,69.9,4.7
PTC00253,CND0099,PRG0145,In Progress,,4.4
PTC00254,CND0099,PRG0074,In Progress,,4.6
PTC00255,CND0100,PRG0022,In Progress,,4.9
PTC00256,CND0100,PRG0023,Completed,80.8,2.9
PTC00257,CND0101,PRG0250,Completed,90.5,4.1
PTC00258,CND0101,PRG0253,Completed,86.2,3.9
PTC00259,CND0102,PRG0077,Completed,89.5,4.7
PTC00260,CND0102,PRG0014,In Progress,,3.9
PTC00261,CND0102,PRG0055,Completed,88.6,4.0
PTC00262,CND0104,PRG0197,Completed,63.1,4.0
PTC00263,CND0104,PRG0195,Completed,65.9,4.7
PTC00264,CND0105,PRG0086,In Progress,,4.8
PTC00265,CND0105,PRG0087,Completed,99.1,4.1
PTC00266,CND0106,PRG0215,In Progress,,4.1
PTC00267,CND0107,PRG0115,In Progress,,4.4
PTC00268,CND0107,PRG0258,Completed,93.6,4.4
PTC00269,CND0107,PRG0215,Completed,88.4,4.6
PTC00270,CND0107,PRG0063,Completed,100.0,3.1
PTC00271,CND0108,PRG0226,In Progress,,3.8
PTC00272,CND0108,PRG0163,Completed,98.1,5.0
PTC00273,CND0108,PRG0138,Completed,98.4,4.6
PTC00274,CND0108,PRG0100,Completed,82.8,3.2
PTC00275,CND0110,PRG0258,Completed,83.2,4.5
PTC00276,CND0110,PRG0257,Dropped,,4.2
PTC00277,CND0111,PRG0099,Dropped,,5.0
PTC00278,CND0112,PRG0227,Completed,79.8,3.0
PTC00279,CND0112,PRG0228,Completed,86.5,3.5
PTC00280,CND0113,PRG0027,In Progress,,4.0
PTC00281,CND0113,PRG0025,Dropped,,3.7
PTC00282,CND0114,PRG0058,Completed,84.1,3.7
PTC00283,CND0114,PRG0055,In Progress,,4.0
PTC00284,CND0114,PRG0057,Completed,74.0,4.8
PTC00285,CND0114,PRG0056,Completed,82.2,5.0
PTC00286,CND0114,PRG0054,In Progress,,4.2
PTC00287,CND0115,PRG0048,Completed,68.2,3.1
PTC00288,CND0115,PRG0047,In Progress,,4.7
PTC00289,CND0116,PRG0175,Completed,80.2,3.9
PTC00290,CND0116,PRG0161,In Progress,,4.3
PTC00291,CND0116,PRG0061,Completed,98.1,4.7
PTC00292,CND0116,PRG0042,Completed,79.3,3.7
PTC00293,CND0116,PRG0210,In Progress,,2.9
PTC00294,CND0117,PRG0091,Completed,74.8,4.5
PTC00295,CND0117,PRG0093,Completed,80.3,4.9
PTC00296,CND0118,PRG0197,Dropped,,4.9
PTC00297,CND0118,PRG0198,Completed,89.1,4.3
PTC00298,CND0119,PRG0090,In Progress,,3.5
PTC00299,CND0119,PRG0091,Completed,83.1,4.2
PTC00300,CND0119,PRG0094,Completed,79.9,4.1
PTC00301,CND0120,PRG0241,Completed,63.2,4.3
PTC00302,CND0121,PRG0199,Dropped,,3.6
PTC00303,CND0121,PRG0217,Completed,70.1,4.8
PTC00304,CND0121,PRG0182,Completed,92.0,3.8
PTC00305,CND0121,PRG0066,Completed,95.9,4.0
PTC00306,CND0121,PRG0206,In Progress,,4.4
PTC00307,CND0122,PRG0217,In Progress,,4.4
PTC00308,CND0122,PRG0215,Completed,63.6,4.9
PTC00309,CND0123,PRG0078,Dropped,,3.5
PTC00310,CND0123,PRG0077,Completed,79.9,4.0
PTC00311,CND0123,PRG0079,In Progress,,4.7
PTC00312,CND0123,PRG0076,Dropped,,5.0
PTC00313,CND0124,PRG0156,Dropped,,5.0
PTC00314,CND0125,PRG0043,Dropped,,5.0
PTC00315,CND0125,PRG0078,Completed,77.4,4.2
PTC00316,CND0125,PRG0004,Completed,70.5,4.2
PTC00317,CND0125,PRG0190,Completed,77.2,4.1
PTC00318,CND0128,PRG0144,In Progress,,4.4
PTC00319,CND0130,PRG0050,Completed,81.1,4.3
PTC00320,CND0130,PRG0119,Completed,84.4,4.7
PTC00321,CND0130,PRG0153,In Progress,,3.3
PTC00322,CND0130,PRG0253,Completed,67.1,4.5
PTC00323,CND0131,PRG0239,Completed,61.6,4.6
PTC00324,CND0131,PRG0240,Completed,87.0,3.1
PTC00325,CND0132,PRG0044,In Progress,,3.9
PTC00326,CND0133,PRG0170,In Progress,,3.0
PTC00327,CND0134,PRG0186,In Progress,,4.6
PTC00328,CND0135,PRG0108,Completed,93.0,5.0
PTC00329,CND0135,PRG0221,Completed,69.7,4.5
PTC00330,CND0135,PRG0143,Completed,77.3,4.1
PTC00331,CND0135,PRG0161,Completed,100.0,3.3
PTC00332,CND0135,PRG0051,Completed,84.5,4.5
PTC00333,CND0136,PRG0221,In Progress,,4.4
PTC00334,CND0136,PRG0223,In Progress,,4.0
PTC00335,CND0136,PRG0222,In Progress,,4.6
PTC00336,CND0137,PRG0147,Completed,78.3,4.2
PTC00337,CND0137,PRG0146,Completed,85.9,4.4
PTC00338,CND0138,PRG0209,Completed,92.5,3.8
PTC00339,CND0138,PRG0207,In Progress,,5.0
PTC00340,CND0139,PRG0100,Completed,86.1,5.0
PTC00341,CND0139,PRG0004,In Progress,,4.9
PTC00342,CND0139,PRG0251,Completed,80.0,4.1
PTC00343,CND0139,PRG0014,Dropped,,4.8
PTC00344,CND0139,PRG0190,Completed,100.0,4.3
PTC00345,CND0140,PRG0026,Completed,100.0,4.1
PTC00346,CND0141,PRG0178,Completed,93.5,3.9
PTC00347,CND0141,PRG0180,Completed,73.1,3.8
PTC00348,CND0141,PRG0181,Completed,76.6,4.7
PTC00349,CND0143,PRG0071,In Progress,,4.6
PTC00350,CND0143,PRG0143,Dropped,,4.9
PTC00351,CND0143,PRG0060,Completed,87.8,4.5
PTC00352,CND0143,PRG0182,Completed,74.3,4.3
PTC00353,CND0144,PRG0199,Completed,65.6,3.2
PTC00354,CND0146,PRG0168,Completed,63.1,4.3
PTC00355,CND0148,PRG0166,In Progress,,4.1
PTC00356,CND0148,PRG0168,Completed,74.9,3.6
PTC00357,CND0148,PRG0167,Completed,74.4,4.7
PTC00358,CND0149,PRG0163,Completed,75.7,4.2
PTC00359,CND0149,PRG0098,Completed,82.2,3.2
PTC00360,CND0149,PRG0019,In Progress,,4.9
PTC00361,CND0149,PRG0005,Dropped,,3.7
PTC00362,CND0149,PRG0126,Completed,85.4,4.2
PTC00363,CND0150,PRG0078,Dropped,,4.8
PTC00364,CND0150,PRG0249,Completed,70.9,4.7
PTC00365,CND0150,PRG0096,Completed,90.4,4.5
PTC00366,CND0151,PRG0129,Completed,74.6,4.7
PTC00367,CND0151,PRG0131,Completed,63.7,4.2
PTC00368,CND0151,PRG0132,Completed,85.4,3.6
PTC00369,CND0153,PRG0187,Completed,75.7,4.2
PTC00370,CND0153,PRG0189,Dropped,,4.8
PTC00371,CND0154,PRG0079,Completed,71.7,4.7
PTC00372,CND0154,PRG0078,Completed,73.3,3.8
PTC00373,CND0155,PRG0029,In Progress,,4.0
PTC00374,CND0155,PRG0028,In Progress,,4.4
PTC00375,CND0155,PRG0030,Dropped,,4.3
PTC00376,CND0156,PRG0251,Completed,81.3,5.0
PTC00377,CND0156,PRG0201,Completed,97.7,3.4
PTC00378,CND0156,PRG0183,In Progress,,4.5
PTC00379,CND0156,PRG0247,In Progress,,3.7
PTC00380,CND0157,PRG0105,Dropped,,4.6
PTC00381,CND0157,PRG0106,Completed,94.0,4.1
PTC00382,CND0157,PRG0104,Completed,77.5,4.2
PTC00383,CND0157,PRG0107,Completed,88.0,3.3
PTC00384,CND0157,PRG0103,Completed,59.0,3.9
PTC00385,CND0158,PRG0138,Completed,69.8,3.9
PTC00386,CND0159,PRG0066,Dropped,,5.0
PTC00387,CND0159,PRG0248,Completed,79.3,4.4
PTC00388,CND0159,PRG0251,Completed,91.7,5.0
PTC00389,CND0159,PRG0211,Completed,74.6,3.9
PTC00390,CND0160,PRG0169,Dropped,,3.7
PTC00391,CND0160,PRG0166,Completed,88.4,4.0
PTC00392,CND0160,PRG0167,In Progress,,4.6
PTC00393,CND0160,PRG0168,Completed,76.6,4.1
PTC00394,CND0161,PRG0078,Completed,66.7,3.5
PTC00395,CND0161,PRG0076,Dropped,,4.1
PTC00396,CND0162,PRG0185,Completed,55.6,4.5
PTC00397,CND0162,PRG0184,Completed,81.6,5.0
PTC00398,CND0162,PRG0186,In Progress,,4.3
PTC00399,CND0163,PRG0106,In Progress,,4.1
PTC00400,CND0163,PRG0057,Completed,83.9,4.8
PTC00401,CND0163,PRG0169,Completed,74.6,2.9
PTC00402,CND0163,PRG0067,In Progress,,4.4
PTC00403,CND0163,PRG0011,Completed,91.9,3.4
PTC00404,CND0164,PRG0222,Completed,83.7,4.3
PTC00405,CND0164,PRG0223,Completed,79.8,5.0
PTC00406,CND0165,PRG0257,Completed,74.6,3.7
PTC00407,CND0165,PRG0258,In Progress,,5.0
PTC00408,CND0166,PRG0048,In Progress,,4.1
PTC00409,CND0167,PRG0118,Completed,69.4,3.8
PTC00410,CND0167,PRG0149,Completed,78.2,4.0
PTC00411,CND0167,PRG0083,Completed,94.8,4.5
PTC00412,CND0167,PRG0192,Completed,70.9,4.3
PTC00413,CND0167,PRG0170,In Progress,,4.5
PTC00414,CND0168,PRG0148,In Progress,,4.9
PTC00415,CND0168,PRG0149,Completed,88.4,4.1
PTC00416,CND0169,PRG0081,Completed,78.8,4.3
PTC00417,CND0169,PRG0082,Completed,73.6,5.0
PTC00418,CND0170,PRG0120,Completed,100.0,4.2
PTC00419,CND0170,PRG0118,Completed,80.1,4.0
PTC00420,CND0170,PRG0119,In Progress,,4.1
PTC00421,CND0171,PRG0079,In Progress,,5.0
PTC00422,CND0171,PRG0076,In Progress,,4.1
PTC00423,CND0172,PRG0073,Completed,69.7,4.5
PTC00424,CND0173,PRG0041,Completed,85.7,3.2
PTC00425,CND0173,PRG0040,Dropped,,4.5
PTC00426,CND0174,PRG0082,Completed,83.6,4.2
PTC00427,CND0174,PRG0080,Completed,87.5,3.9
PTC00428,CND0175,PRG0201,Completed,72.4,4.7
PTC00429,CND0175,PRG0100,Completed,95.9,4.9
PTC00430,CND0175,PRG0160,Completed,84.3,3.5
PTC00431,CND0175,PRG0166,Completed,81.9,5.0
PTC00432,CND0175,PRG0218,Completed,88.2,4.1
PTC00433,CND0176,PRG0162,Completed,90.8,3.9
PTC00434,CND0176,PRG0160,Completed,77.3,4.4
PTC00435,CND0177,PRG0079,Completed,100.0,4.1
PTC00436,CND0178,PRG0211,Completed,89.4,4.1
PTC00437,CND0179,PRG0046,Completed,75.5,5.0
PTC00438,CND0180,PRG0126,In Progress,,4.4
PTC00439,CND0180,PRG0196,In Progress,,3.3
PTC00440,CND0180,PRG0009,Dropped,,5.0
PTC00441,CND0180,PRG0255,Completed,69.6,3.8
PTC00442,CND0180,PRG0202,Completed,76.0,3.3
PTC00443,CND0183,PRG0201,In Progress,,4.2
PTC00444,CND0183,PRG0202,Completed,83.1,4.6
PTC00445,CND0184,PRG0245,Completed,89.8,4.0
PTC00446,CND0184,PRG0056,Completed,96.1,4.0
PTC00447,CND0184,PRG0160,Completed,78.4,2.1
PTC00448,CND0184,PRG0171,Completed,86.1,3.4
PTC00449,CND0185,PRG0136,In Progress,,4.0
PTC00450,CND0187,PRG0079,Completed,86.4,5.0
PTC00451,CND0187,PRG0078,Completed,78.3,3.9
PTC00452,CND0188,PRG0243,Completed,91.6,3.1
PTC00453,CND0188,PRG0120,Completed,85.2,3.9
PTC00454,CND0188,PRG0031,Completed,81.2,4.4
PTC00455,CND0188,PRG0253,Completed,77.1,3.8
PTC00456,CND0189,PRG0247,In Progress,,4.2
PTC00457,CND0189,PRG0246,Completed,71.7,3.8
PTC00458,CND0191,PRG0108,Completed,88.7,4.5
PTC00459,CND0191,PRG0251,Dropped,,3.2
PTC00460,CND0191,PRG0256,Completed,75.2,4.9
PTC00461,CND0192,PRG0068,Completed,72.2,5.0
PTC00462,CND0192,PRG0067,In Progress,,3.2
PTC00463,CND0193,PRG0095,Completed,73.7,4.5
PTC00464,CND0193,PRG0098,Completed,86.2,5.0
PTC00465,CND0194,PRG0021,In Progress,,4.6
PTC00466,CND0195,PRG0130,Completed,67.0,5.0
PTC00467,CND0195,PRG0131,Completed,100.0,4.6
PTC00468,CND0195,PRG0129,In Progress,,4.1
PTC00469,CND0196,PRG0020,Completed,76.6,4.5
PTC00470,CND0196,PRG0218,In Progress,,3.4
PTC00471,CND0196,PRG0254,Completed,69.8,4.8
PTC00472,CND0196,PRG0088,Completed,91.4,4.6
PTC00473,CND0196,PRG0250,Completed,82.9,2.8
PTC00474,CND0197,PRG0172,Completed,81.3,4.2
PTC00475,CND0197,PRG0173,Completed,86.5,4.7
PTC00476,CND0197,PRG0171,Completed,72.0,4.3
PTC00477,CND0198,PRG0122,Completed,95.2,4.6
PTC00478,CND0198,PRG0125,Dropped,,4.5
PTC00479,CND0199,PRG0191,Completed,77.2,3.7
PTC00480,CND0199,PRG0129,In Progress,,4.6
PTC00481,CND0199,PRG0242,In Progress,,4.0
PTC00482,CND0200,PRG0070,Completed,82.7,3.8
PTC00483,CND0200,PRG0085,Completed,72.0,3.5
PTC00484,CND0200,PRG0243,Completed,94.5,3.3
PTC00485,CND0200,PRG0006,In Progress,,4.9
PTC00486,CND0201,PRG0108,Completed,73.3,3.8
PTC00487,CND0202,PRG0233,Dropped,,4.8
PTC00488,CND0202,PRG0234,Completed,80.4,3.9
PTC00489,CND0203,PRG0192,Completed,77.9,4.4
PTC00490,CND0203,PRG0190,Completed,72.4,3.6
PTC00491,CND0203,PRG0193,In Progress,,4.4
PTC00492,CND0203,PRG0191,Completed,81.5,4.2
